city_name,city_number,country,lat,lon,temp,humidity,wind,clouds
coihaique,3894426,CL,-45.58,-72.07,2.0,93,3.1,75
kazalinsk,1000000, ,0.0,0.0,0.0,0,0.0,0
santa maria,3450083,BR,-29.68,-53.81,18.62,96,1.77,100
general pico,3855075,AR,-35.66,-63.76,10.16,60,1.64,22
budogoshch,571252,RU,59.28,32.47,0.66,94,2.73,100
caraballeda,3646767,VE,10.61,-66.85,22.78,80,4.0,34
bakchar,1511057,RU,57.02,82.07,24.7,38,1.29,97
manzil jamil,1000000, ,0.0,0.0,0.0,0,0.0,0
dongying,1812101,CN,37.46,118.49,28.88,24,5.26,0
menongue,3347353,AO,-14.66,17.69,13.62,54,1.04,58
kavieng,2094342,PG,-2.57,150.8,27.44,80,3.9,100
at-bashi,1528796,KG,41.17,75.81,10.56,43,0.78,100
kitimat,5993072,CA,54.05,-128.65,18.89,46,0.45,0
tucupita,3625929,VE,9.06,-62.05,23.77,86,1.91,93
lodja,211647,CD,-3.48,23.43,20.95,97,0.59,81
mahanoro,1062553,MG,-19.9,48.8,22.01,81,2.57,84
wakkanai,2127515,JP,45.41,141.67,16.0,59,10.8,20
teguise,2510573,ES,29.06,-13.56,20.0,68,3.1,83
severnyy,496358,RU,50.68,36.55,3.0,74,8.0,75
cinnaminson,4501234,US,40.0,-74.99,10.5,37,3.1,40
tyumentsevo,1488741,RU,53.32,81.5,24.25,41,2.19,0
natal,3394023,BR,-5.79,-35.21,24.0,100,2.1,20
puerto suarez,3444199,BO,-18.95,-57.8,22.7,93,0.95,51
itoman,1861280,JP,26.12,127.67,25.87,54,8.2,75
ajdabiya,89113,LY,30.76,20.23,24.84,16,1.55,0
sergeyevka,1519385,KZ,53.88,67.42,19.22,67,2.52,78
santa rosa,1687894,PH,14.31,121.11,33.94,56,2.1,75
marystown,6067472,CA,47.17,-55.15,3.44,96,5.62,100
tuyen quang,1563287,VN,21.82,105.22,28.28,74,1.65,100
nebolchi,523051,RU,59.12,33.35,0.95,96,2.35,100
port-gentil,2396518,GA,-0.72,8.78,27.13,79,3.04,100
key west,4160812,US,24.56,-81.78,24.91,69,6.2,20
hualmay,3939761,PE,-11.1,-77.61,19.34,84,3.71,33
kirakira,2178753,SB,-10.45,161.92,29.6,71,4.86,93
raudeberg,3146487,NO,61.99,5.14,0.56,93,5.26,83
navolato,3995017,MX,24.77,-107.69,25.01,59,0.45,0
buchanan,2278158,LR,5.88,-10.05,26.37,84,1.28,93
murgab,1218612,TM,37.5,61.97,13.0,87,4.1,71
celestun,3531368,MX,20.87,-90.4,26.43,82,6.22,0
campos altos,3467688,BR,-19.7,-46.17,13.58,90,1.13,13
